"countries","fat_100g","proteins_100g","carbohydrates_100g"
"North Europe","6042.940000000005","3355.298999999998","10108.160000000007"
"Central Europe","2167.4500000000007","947.4300000000001","3318.5099999999998"
"South Europe","439.75","232.32999999999998","1054.75"
